society,property_type,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,puja room,others,furnishing_type,luxury_score
experion the heartsong,flat,sector 108,0.97,9238.0,2,2,3,10.0,Relatively New,1237.5349140100002,0,1,0,0,0,0,165
dlf the ultima,flat,sector 81,2.3,14375.0,3,4,3+,18.0,Relatively New,1841.24199938,0,1,0,0,0,2,174
independent,house,sector 14,3.5,18088.0,6,4,2,2.0,Old Property,1935.0,0,0,0,0,1,1,27
shree vardhman victoria,flat,sector 70,1.55,7948.0,3,5,3,8.0,Relatively New,1539.8590188550002,0,1,0,0,0,0,174
unitech aspen greens,house,sector 50,7.0,32407.0,4,4,2,2.0,Old Property,2160.0,0,1,0,0,0,0,29
tulip violet,flat,sector 69,2.0,9950.0,4,4,2,0.0,Relatively New,1784.75173777,0,0,0,0,0,0,95
krrish florence estate,flat,sector 70,1.65,7764.0,3,4,3+,27.0,New Property,1887.7744693700001,1,1,0,0,0,0,81
supertech araville,flat,sector 79,0.78,6023.0,2,2,3+,17.0,Relatively New,1144.21910217,0,0,0,0,0,0,24
shapoorji pallonji joyville gurugram,flat,sector 102,1.05,11475.0,2,2,2,0.0,Under Construction,1102.3131049600001,0,0,0,0,0,0,49
unitech espace,house,sector 50,7.5,34722.0,3,3,2,2.0,Moderately Old,2160.0,0,1,0,0,0,1,66
vatika the seven lamps,flat,sector 82,1.39,6412.0,3,3,3+,11.0,Relatively New,1919.1292137700002,1,1,0,0,0,1,117
palam vihar extension west zone rwa,house,sector 2,0.65,5777.0,2,2,1,1.0,Moderately Old,1125.0,0,0,1,0,0,0,23
vatika sovereign park,flat,sector 99,3.25,9672.0,4,4,3+,2.0,New Property,2994.14902177,0,1,0,0,0,0,123
gls arawali homes,flat,sohna road road,0.28,5982.0,2,2,2,3.0,Relatively New,654.57867055,0,0,0,0,0,0,42
emaar gurgaon greens,flat,sector 102,1.42,8606.0,3,3,3,7.0,Relatively New,1336.1578287487,0,1,0,0,0,0,128
m3m woodshire,flat,sector 107,0.8,5856.0,2,2,3+,6.0,Relatively New,1225.183784985,0,0,0,0,0,1,174
independent,house,sector 50,10.56,32593.0,5,5,3,3.0,Moderately Old,3240.0,0,1,0,0,0,0,20
independent,house,sector 23,5.0,16244.0,4,4,2,2.0,Old Property,3078.0,0,0,0,0,0,0,7
ats tourmaline,flat,sector 109,1.45,6744.0,3,4,3+,4.0,Relatively New,1797.0,0,1,0,0,0,0,71
dlf regal gardens,flat,sector 90,1.25,6459.0,3,3,3,10.0,Relatively New,1650.0,0,0,0,0,1,1,38
eldeco mansionz,house,sector 48,6.0,22222.0,4,4,3+,2.0,Moderately Old,2700.0,0,1,0,0,0,0,69
proxima tower,flat,sector 37c,0.6,4602.0,2,2,3,5.0,Under Construction,1152.28175073,1,0,0,0,0,0,55
dlf the ultima,flat,sector 81,2.25,10755.0,3,4,3+,11.0,Relatively New,2090.0,0,1,0,0,0,2,174
